时间,经度,纬度,GPS状态
14:19:12,30.49982757,114.42583114166666,5
14:19:13,30.49982757,114.42583112166666,5
14:19:14,30.499827556666666,114.42583113166667,5
14:19:15,30.499827531666668,114.42583112666667,5
14:19:16,30.499827506666666,114.425831145,5
14:19:17,30.49982749,114.42583117666666,5
14:19:18,30.499827475,114.42583120833334,5
14:19:19,30.499827485,114.42583124333333,5
14:19:20,30.4998275,114.42583127333333,5
14:19:21,30.499827526666667,114.42583129166667,5
14:19:22,30.499827496666665,114.42583132333333,5
14:19:23,30.499827458333332,114.42583133833334,5
14:19:24,30.499827443333334,114.425831355,5
14:19:25,30.49982744,114.42583138166667,5
14:19:26,30.49982744,114.42583137,5
14:19:27,30.499827431666667,114.42583138666667,5
14:19:28,30.49982744,114.42583137833333,5
14:19:29,30.49982745333333,114.42583137166666,5
14:19:30,30.49982745166667,114.42583138333333,5
14:19:31,30.499827448333335,114.42583139666667,5
14:19:32,30.499827441666667,114.42583139666667,5
14:19:33,30.499827425,114.42583139666667,5
14:19:34,30.499827395,114.42583139,5
14:19:35,30.49982736,114.42583137333334,5
14:19:36,30.499827346666667,114.42583138166667,5
14:19:37,30.499827331666665,114.42583138333333,5
14:19:38,30.499827316666668,114.42583136166667,5
14:19:39,30.499827306666667,114.42583134166667,5
14:19:40,30.499827288333332,114.425831335,5
14:19:41,30.499826115,114.42583326333333,5
14:19:42,30.499822623333333,114.42583562333333,5
14:19:43,30.499818088333335,114.425836755,5
14:19:44,30.49981053,114.42583454333334,5
14:19:45,30.499805631666668,114.42582770666667,5
14:19:46,30.499803883333332,114.42582061833333,5
14:19:47,30.499804005,114.42580953833334,5
14:19:48,30.499805091666666,114.42579751833334,5
14:19:49,30.49980706,114.42578938166666,2
14:19:50,30.499809821666666,114.425773895,2
14:19:51,30.499813811666666,114.42574997333334,2
14:19:52,30.499816648333333,114.42572192666667,2
14:19:53,30.499819758333334,114.42569128333334,2
14:19:54,30.499821461666667,114.42566097333334,2
14:19:55,30.499824503333333,114.425631365,2
14:19:56,30.499826898333332,114.42560218333334,2
14:19:57,30.499829101666666,114.42557124166666,2
14:19:58,30.499832668333333,114.42553778666667,5
14:19:59,30.499836533333333,114.42550551666666,5
14:20:0,30.499840463333335,114.42547528666667,2
14:20:1,30.499845013333335,114.42544466333334,2
14:20:2,30.499850673333334,114.42541708,2
14:20:3,30.49985376,114.42538997833333,5
14:20:4,30.499856188333332,114.42536637,5
14:20:5,30.499857656666666,114.42534500333333,5
14:20:6,30.49985944166667,114.42532285333333,5
14:20:7,30.49986297,114.42530567666667,5
14:20:8,30.499873006666668,114.42529210666666,5
14:20:9,30.499888391666666,114.42527645166666,5
14:20:10,30.499907891666666,114.42526089,5
14:20:11,30.499932621666666,114.42524435833333,5
14:20:12,30.49995942,114.42522627666666,4
14:20:13,30.499987041666667,114.42521166333333,4
14:20:14,30.500018186666665,114.42520043666667,4
14:20:15,30.500055078333332,114.42519468166667,4
14:20:16,30.500093388333333,114.42519328166667,4
14:20:17,30.500130646666666,114.42519881333334,4
14:20:18,30.500169126666666,114.42520393333334,4
14:20:19,30.500214453333335,114.42520634333333,4
14:20:20,30.500263816666667,114.42520960833333,4
14:20:21,30.50031496,114.42521539,4
14:20:22,30.500367756666666,114.425221065,4
14:20:23,30.500420815,114.42522634333334,4
14:20:24,30.500474323333332,114.42523102666667,4
14:20:25,30.500528001666666,114.42523585666666,4
14:20:26,30.500582251666668,114.42524080666666,4
14:20:27,30.5006365,114.42524601666666,4
14:20:28,30.500690635,114.42525198166666,4
14:20:29,30.500744091666668,114.42525724,4
14:20:30,30.500797373333334,114.42526228666667,4
14:20:31,30.500850585,114.42526774333334,4
14:20:32,30.500902683333333,114.425272255,4
14:20:33,30.500953813333332,114.425277075,4
14:20:34,30.501003605,114.42528226666667,4
14:20:35,30.501051888333333,114.42528952333333,4
14:20:36,30.501099298333333,114.42529746666666,4
14:20:37,30.501146188333333,114.42530577833334,4
14:20:38,30.501192075,114.42531227,4
14:20:39,30.501236945,114.42531575833334,4
14:20:40,30.501280756666667,114.42531876833333,4
14:20:41,30.50132231,114.42532224166666,4
14:20:42,30.501359901666667,114.42532586333333,4
14:20:43,30.501394213333334,114.42533317166667,4
14:20:44,30.501425776666668,114.42534344333333,4
14:20:45,30.50145364666667,114.42535683666667,4
14:20:46,30.501478113333334,114.42537331,4
14:20:47,30.50150113833333,114.42539456833333,4
14:20:48,30.501520368333335,114.425420605,4
14:20:49,30.501533416666668,114.42545069833334,4
14:20:50,30.501543916666666,114.425485195,4
14:20:51,30.50155469,114.42552271666666,4
14:20:52,30.50156447,114.42556240666667,4
14:20:53,30.501570648333335,114.42560447666666,4
14:20:54,30.501571631666668,114.425648975,4
14:20:55,30.501566908333334,114.42569845,4
14:20:56,30.501561203333335,114.42575049166666,4
14:20:57,30.501557305,114.42580158833333,4
14:20:58,30.50155545166667,114.425851805,4
14:20:59,30.501552718333333,114.425901955,4
14:21:0,30.501548633333332,114.42594969666666,4
14:21:1,30.50154486,114.42599457833333,4
14:21:2,30.501541988333333,114.426035405,4
14:21:3,30.501538481666667,114.426071765,4
14:21:4,30.50153286666667,114.42610084333333,4
14:21:5,30.501523386666666,114.42611908,4
14:21:6,30.501511113333333,114.426120355,4
14:21:7,30.501501851666667,114.42611104833334,4
14:21:8,30.50149492,114.42609341833334,4
14:21:9,30.501491801666667,114.42607120666666,4
14:21:10,30.501489393333333,114.42604879,4
14:21:11,30.501489081666666,114.426028635,4
14:21:12,30.50149055,114.42601237,4
14:21:13,30.501491136666665,114.42600417166666,4
14:21:14,30.501491565,114.42600149,4
14:21:15,30.501491465,114.42600196333333,4
14:21:16,30.501491578333333,114.426001985,4
14:21:17,30.501491466666668,114.42600204,4
14:21:18,30.501491243333334,114.426002065,4
14:21:19,30.501491485,114.42600208833333,4
14:21:20,30.501491486666666,114.42600212333333,4
14:21:21,30.501491506666667,114.42600207,4
14:21:22,30.501491486666666,114.42600206333333,4
14:21:23,30.50149148,114.426002065,4
14:21:24,30.50149147833333,114.42600204666667,4
14:21:25,30.501491488333333,114.42600206333333,4
14:21:26,30.501491503333334,114.42600204,4
14:21:27,30.501491405,114.42600208666667,4
14:21:28,30.501491423333334,114.42600204166666,4
14:21:29,30.501491406666666,114.42600205166667,4
14:21:30,30.501491435,114.42600205,4
14:21:31,30.501491391666665,114.42600206833333,4
14:21:32,30.501491423333334,114.42600203833334,4
14:21:33,30.501491416666667,114.42600203166667,4
14:21:34,30.501491423333334,114.42600206,4
14:21:35,30.501491415,114.42600203,4
14:21:36,30.501491388333335,114.42600205,4
14:21:37,30.501491335,114.42600202666667,4
14:21:38,30.501491301666668,114.42600204833333,4
14:21:39,30.501491255,114.42600204333333,4
14:21:40,30.501491265,114.42600200833333,4
14:21:41,30.501491256666668,114.42600202166666,4
14:21:42,30.501491296666668,114.42600201833334,4
14:21:43,30.501491341666668,114.42600200833333,4
14:21:44,30.501491326666667,114.42600199333333,4
14:21:45,30.501491293333334,114.42600200166666,4
14:21:46,30.501491335,114.42600199,4
14:21:47,30.50149129,114.42600198666666,4
14:21:48,30.501491268333332,114.42600196333333,4
14:21:49,30.501491241666667,114.426001985,4
14:21:50,30.501491115,114.42600192666667,4
14:21:51,30.501491043333335,114.42600185833334,4
14:21:52,30.50149104833333,114.42600195333333,4
14:21:53,30.501491126666668,114.42600201333333,4
14:21:54,30.501491158333334,114.42600200333334,4
14:21:55,30.501491108333333,114.42600197833333,4
14:21:56,30.501491156666667,114.42600197166666,4
14:21:57,30.501491138333332,114.42600198666666,4
14:21:58,30.501491113333334,114.42600201666667,4
14:21:59,30.501491090000002,114.42600200333334,4
14:22:0,30.501491051666665,114.426001975,4
14:22:1,30.501491101666666,114.42600202,4
14:22:2,30.501491186666666,114.426002045,4
14:22:3,30.501491181666665,114.42600208833333,4
14:22:4,30.501491168333335,114.42600204166666,4
14:22:5,30.50149118,114.42600207333334,4
14:22:6,30.501491143333332,114.42600206333333,4
14:22:7,30.501491071666667,114.426002065,4
14:22:8,30.501491105,114.42600206,4
